Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
73,68,3/23/2019,20-023,DAL,@,GSW,W (+35),1,27:21:00,6,14,0.429,4,11,0.364,7,11,0.636,1,10,11,10,3,0,3,3,23,23.5,29
74,69,3/26/2019,20-026,DAL,,SAC,L (-4),1,36:09:00,9,20,0.45,0,9,0,10,11,0.909,1,11,12,12,0,0,4,2,28,24.8,-7
75,70,3/28/2019,20-028,DAL,@,MIA,L (-6),1,30:42:00,6,18,0.333,3,9,0.333,4,6,0.667,0,8,8,7,0,0,6,4,19,7.7,-8
76,,3/31/2019,20-031,DAL,@,OKC,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
77,,4/1/2019,20-032,DAL,,PHI,W (+20),Inactive,,,,,,,,,,,,,,,,,,,,,
78,71,4/3/2019,20-034,DAL,,MIN,L (-2),1,31:45:00,11,21,0.524,2,8,0.25,3,3,1,4,8,12,6,0,1,4,1,27,22.4,-15
79,,4/5/2019,20-036,DAL,,MEM,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
80,,4/7/2019,20-038,DAL,@,MEM,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
81,72,4/9/2019,20-040,DAL,,PHO,W (+11),1,32:11:00,6,14,0.429,2,5,0.4,7,8,0.875,3,13,16,11,3,0,4,1,21,25.5,15
82,,4/10/2019,20-041,DAL,@,SAS,L (-11),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
