Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,35,1/16/2010,20-119,SAC,@,WAS,L (-10),1,40:47:00,9,19,0.474,1,4,0.25,2,3,0.667,3,3,6,7,0,0,2,3,21,15.6,-13
40,36,1/18/2010,20-121,SAC,@,CHA,L (-2),1,40:32:00,13,20,0.65,0,2,0,8,11,0.727,1,3,4,7,2,3,3,2,34,30.8,6
41,37,1/20/2010,20-123,SAC,@,ATL,L (-11),1,32:12:00,9,17,0.529,1,2,0.5,5,6,0.833,0,0,0,5,2,0,1,2,24,19,-12
42,38,1/22/2010,20-125,SAC,@,ORL,L (-16),1,36:32:00,6,15,0.4,1,1,1,6,7,0.857,1,3,4,2,1,0,3,2,19,10.7,-20
43,39,1/23/2010,20-126,SAC,@,MIA,L (-31),1,31:26:00,5,10,0.5,0,1,0,5,6,0.833,0,0,0,3,1,0,3,1,15,9.3,-27
44,40,1/26/2010,20-129,SAC,,GSW,W (+3),1,37:40:00,8,21,0.381,0,2,0,7,9,0.778,0,6,6,4,2,0,3,3,23,13.1,-4
45,41,1/29/2010,20-132,SAC,@,UTA,L (-7),1,36:38:00,6,14,0.429,0,1,0,13,15,0.867,1,0,1,6,2,0,4,1,25,19.3,-2
46,42,1/30/2010,20-133,SAC,,CHA,L (-7),1,28:49:00,2,5,0.4,0,0,,0,0,,0,2,2,7,2,1,0,2,4,8.7,-9
47,,2/1/2010,20-135,SAC,@,DEN,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
48,43,2/3/2010,20-137,SAC,,SAS,L (-2),1,38:46:00,11,18,0.611,3,5,0.6,7,9,0.778,0,7,7,8,2,1,4,5,32,27.4,5
49,44,2/5/2010,20-139,SAC,,PHO,L (-12),1,26:48:00,6,11,0.545,0,1,0,1,2,0.5,2,3,5,4,1,0,0,3,13,12.2,-17
50,45,2/7/2010,20-141,SAC,@,TOR,L (-11),1,39:10:00,3,8,0.375,0,0,,5,5,1,1,3,4,9,2,1,5,0,11,12.2,-12
51,46,2/9/2010,20-143,SAC,@,NYK,W (+4),1,45:14:00,11,26,0.423,0,1,0,5,7,0.714,2,8,10,7,1,0,3,3,27,17.9,10
52,47,2/10/2010,20-144,SAC,@,DET,W (+6),1,35:35:00,5,10,0.5,0,1,0,3,6,0.5,2,3,5,6,3,0,4,2,13,11.5,1
53,48,2/16/2010,20-150,SAC,,BOS,L (-3),1,40:51:00,5,13,0.385,1,2,0.5,6,10,0.6,1,10,11,7,0,1,1,3,17,15.4,7
54,49,2/17/2010,20-151,SAC,@,GSW,L (-32),1,32:16:00,6,12,0.5,0,1,0,5,5,1,0,5,5,10,3,0,6,4,17,14.9,-13
55,50,2/20/2010,20-154,SAC,@,LAC,L (-10),1,40:05:00,9,14,0.643,1,3,0.333,2,7,0.286,0,3,3,4,0,0,4,4,21,10.9,-15
56,51,2/21/2010,20-155,SAC,@,PHO,L (-16),1,34:59:00,7,13,0.538,0,0,,2,4,0.5,1,2,3,6,1,0,5,4,16,8.8,-23
57,52,2/23/2010,20-157,SAC,,DET,L (-12),1,43:36:00,11,19,0.579,0,2,0,6,9,0.667,0,3,3,13,2,0,2,4,28,26.3,-6
58,53,2/26/2010,20-160,SAC,,UTA,W (+4),1,38:06:00,9,17,0.529,0,1,0,6,11,0.545,0,8,8,7,1,1,2,1,24,20.3,7
59,54,2/28/2010,20-162,SAC,,LAC,W (+5),1,37:09:00,9,21,0.429,0,0,,4,8,0.5,1,4,5,3,1,0,1,3,22,12.1,-4
60,55,3/2/2010,20-164,SAC,@,OKC,L (-6),1,39:17:00,7,17,0.412,0,1,0,13,17,0.765,1,5,6,5,2,0,4,6,27,17.6,-3
61,56,3/3/2010,20-165,SAC,@,HOU,W (+3),1,33:34:00,4,22,0.182,0,4,0,1,3,0.333,1,7,8,5,1,1,1,5,9,-0.6,8
62,57,3/5/2010,20-167,SAC,@,DAL,L (-8),1,37:48:00,9,15,0.6,1,2,0.5,1,4,0.25,0,1,1,6,1,0,6,3,20,10.2,-10
63,58,3/7/2010,20-169,SAC,,OKC,L (-6),1,39:37:00,9,16,0.563,2,3,0.667,4,7,0.571,0,4,4,7,3,0,2,1,24,21.9,-8
64,59,3/9/2010,20-171,SAC,@,POR,L (-7),1,43:11:00,8,19,0.421,0,1,0,2,3,0.667,1,5,6,6,1,0,1,2,18,13.1,-12
65,60,3/10/2010,20-172,SAC,,TOR,W (+23),1,36:17:00,7,15,0.467,0,2,0,5,7,0.714,1,9,10,10,0,0,2,2,19,18.1,19
66,61,3/12/2010,20-174,SAC,,POR,L (-16),1,37:35:00,4,12,0.333,0,2,0,2,2,1,0,10,10,4,0,0,5,4,10,2.4,-19
67,62,3/14/2010,20-176,SAC,,MIN,W (+14),1,38:45:00,10,19,0.526,2,5,0.4,7,7,1,1,8,9,11,2,0,2,2,29,29.7,25
68,63,3/16/2010,20-178,SAC,,LAL,L (-7),1,42:22:00,7,19,0.368,1,5,0.2,10,14,0.714,2,9,11,9,0,0,1,3,25,21.1,-13
69,64,3/19/2010,20-181,SAC,,MIL,L (-6),1,38:40:00,4,8,0.5,0,1,0,7,10,0.7,0,4,4,4,2,0,8,3,15,6.6,-12
70,,3/21/2010,20-183,SAC,@,LAC,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
71,,3/22/2010,20-184,SAC,,MEM,L (-17),Inactive,,,,,,,,,,,,,,,,,,,,,
72,,3/24/2010,20-186,SAC,@,NJN,L (-14),Inactive,,,,,,,,,,,,,,,,,,,,,
73,,3/26/2010,20-188,SAC,@,BOS,L (-8),Inactive,,,,,,,,,,,,,,,,,,,,,
74,,3/28/2010,20-190,SAC,@,CLE,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
75,65,3/30/2010,20-192,SAC,@,IND,L (-7),1,38:39:00,6,13,0.462,1,2,0.5,4,4,1,0,7,7,10,4,0,7,3,17,15.2,-9
76,66,3/31/2010,20-193,SAC,@,MIN,L (-9),1,39:06:00,7,19,0.368,1,2,0.5,5,7,0.714,3,4,7,13,3,0,1,2,20,22.3,-3
77,67,4/3/2010,20-196,SAC,,POR,L (-11),1,34:18:00,2,12,0.167,1,3,0.333,1,3,0.333,2,3,5,6,1,0,4,3,6,-0.1,-18
78,68,4/6/2010,20-199,SAC,,SAS,L (-9),1,42:32:00,10,24,0.417,1,2,0.5,1,2,0.5,1,8,9,6,0,0,4,5,22,10.1,-16
79,69,4/8/2010,20-201,SAC,,LAC,W (+22),1,36:58:00,12,19,0.632,0,2,0,4,5,0.8,1,5,6,7,2,0,3,2,28,24.4,2
80,70,4/10/2010,20-203,SAC,,DAL,L (-18),1,42:07:00,10,21,0.476,0,2,0,7,8,0.875,2,6,8,6,2,1,4,3,27,20.8,-15
81,71,4/12/2010,20-205,SAC,,HOU,L (-10),1,37:53:00,8,23,0.348,0,1,0,8,10,0.8,2,4,6,4,3,0,4,2,24,13.9,-4
82,72,4/13/2010,20-206,SAC,@,LAL,L (-6),1,15:56,5,7,0.714,0,0,,0,0,,0,1,1,3,1,0,1,3,10,8.3,3
