PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS
Tyreke Evans,23,22.0,12/15/2009,20-087,SAC,@,POR,L (-7),1,32:53:00,32,53,00,7.0,9.0,0.778,0.0,1.0,0.0,5.0,6.0,0.833,0.0,7.0,7.0,3.0,2.0,1.0,1.0,4.0,19.0,19.4,-8.0
Tyreke Evans,24,23.0,12/16/2009,20-088,SAC,,WAS,W (+3),1,40:19:00,40,19,00,9.0,18.0,0.5,0.0,1.0,0.0,8.0,10.0,0.8,1.0,5.0,6.0,6.0,0.0,2.0,4.0,3.0,26.0,18.8,-8.0
Tyreke Evans,25,24.0,12/18/2009,20-090,SAC,@,MIN,L (-16),1,35:19:00,35,19,00,4.0,12.0,0.33299999999999996,0.0,2.0,0.0,2.0,2.0,1.0,0.0,4.0,4.0,8.0,2.0,0.0,5.0,4.0,10.0,5.4,-15.0
Tyreke Evans,26,25.0,12/19/2009,20-091,SAC,@,MIL,W (+1),1,36:38:00,36,38,00,9.0,19.0,0.474,1.0,1.0,1.0,5.0,7.0,0.7140000000000001,2.0,5.0,7.0,3.0,2.0,0.0,6.0,2.0,24.0,13.7,-2.0
Tyreke Evans,27,26.0,12/21/2009,20-093,SAC,@,CHI,W (+4),1,44:23:00,44,23,00,8.0,19.0,0.42100000000000004,1.0,1.0,1.0,6.0,9.0,0.667,1.0,7.0,8.0,3.0,2.0,0.0,3.0,4.0,23.0,14.0,6.0
Tyreke Evans,28,27.0,12/23/2009,20-095,SAC,,CLE,L (-13),1,43:31:00,43,31,00,11.0,25.0,0.44,2.0,7.0,0.28600000000000003,4.0,4.0,1.0,0.0,3.0,3.0,5.0,1.0,3.0,1.0,1.0,28.0,21.0,-18.0
Tyreke Evans,29,28.0,12/26/2009,20-098,SAC,,LAL,L (-9),1,46:14:00,46,14,00,9.0,23.0,0.391,0.0,4.0,0.0,0.0,0.0,,2.0,3.0,5.0,2.0,0.0,1.0,5.0,5.0,18.0,2.9,-11.0
Tyreke Evans,33,29.0,1/2/2010,20-105,SAC,,DAL,L (-8),1,37:38:00,37,38,00,6.0,18.0,0.33299999999999996,0.0,2.0,0.0,2.0,4.0,0.5,0.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,14.0,9.7,-2.0
Tyreke Evans,34,30.0,1/5/2010,20-108,SAC,,PHO,L (-4),1,38:51:00,38,51,00,10.0,23.0,0.435,0.0,1.0,0.0,7.0,7.0,1.0,3.0,8.0,11.0,7.0,2.0,1.0,2.0,2.0,27.0,24.2,-4.0
Tyreke Evans,35,31.0,1/8/2010,20-111,SAC,@,GSW,L (-7),1,38:07:00,38,07,00,8.0,17.0,0.47100000000000003,1.0,2.0,0.5,8.0,9.0,0.889,1.0,1.0,2.0,6.0,3.0,1.0,6.0,6.0,25.0,16.4,-5.0
Tyreke Evans,36,32.0,1/9/2010,20-112,SAC,,DEN,W (+2),1,41:45:00,41,45,00,10.0,15.0,0.667,1.0,2.0,0.5,6.0,8.0,0.75,0.0,2.0,2.0,5.0,0.0,0.0,3.0,3.0,27.0,19.6,6.0
Tyreke Evans,37,33.0,1/12/2010,20-115,SAC,,ORL,L (-21),1,37:41:00,37,41,00,5.0,16.0,0.313,1.0,3.0,0.33299999999999996,7.0,9.0,0.778,2.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,18.0,13.0,-9.0
Tyreke Evans,38,34.0,1/15/2010,20-118,SAC,@,PHI,L (-12),1,35:49:00,35,49,00,3.0,13.0,0.231,0.0,1.0,0.0,8.0,8.0,1.0,0.0,2.0,2.0,4.0,3.0,0.0,3.0,3.0,14.0,8.3,-13.0
Tyreke Evans,39,35.0,1/16/2010,20-119,SAC,@,WAS,L (-10),1,40:47:00,40,47,00,9.0,19.0,0.474,1.0,4.0,0.25,2.0,3.0,0.667,3.0,3.0,6.0,7.0,0.0,0.0,2.0,3.0,21.0,15.6,-13.0
Tyreke Evans,40,36.0,1/18/2010,20-121,SAC,@,CHA,L (-2),1,40:32:00,40,32,00,13.0,20.0,0.65,0.0,2.0,0.0,8.0,11.0,0.727,1.0,3.0,4.0,7.0,2.0,3.0,3.0,2.0,34.0,30.8,6.0
Tyreke Evans,41,37.0,1/20/2010,20-123,SAC,@,ATL,L (-11),1,32:12:00,32,12,00,9.0,17.0,0.529,1.0,2.0,0.5,5.0,6.0,0.833,0.0,0.0,0.0,5.0,2.0,0.0,1.0,2.0,24.0,19.0,-12.0
Tyreke Evans,42,38.0,1/22/2010,20-125,SAC,@,ORL,L (-16),1,36:32:00,36,32,00,6.0,15.0,0.4,1.0,1.0,1.0,6.0,7.0,0.857,1.0,3.0,4.0,2.0,1.0,0.0,3.0,2.0,19.0,10.7,-20.0
Tyreke Evans,43,39.0,1/23/2010,20-126,SAC,@,MIA,L (-31),1,31:26:00,31,26,00,5.0,10.0,0.5,0.0,1.0,0.0,5.0,6.0,0.833,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,15.0,9.3,-27.0
Tyreke Evans,44,40.0,1/26/2010,20-129,SAC,,GSW,W (+3),1,37:40:00,37,40,00,8.0,21.0,0.381,0.0,2.0,0.0,7.0,9.0,0.778,0.0,6.0,6.0,4.0,2.0,0.0,3.0,3.0,23.0,13.1,-4.0
Tyreke Evans,45,41.0,1/29/2010,20-132,SAC,@,UTA,L (-7),1,36:38:00,36,38,00,6.0,14.0,0.429,0.0,1.0,0.0,13.0,15.0,0.867,1.0,0.0,1.0,6.0,2.0,0.0,4.0,1.0,25.0,19.3,-2.0
Tyreke Evans,46,42.0,1/30/2010,20-133,SAC,,CHA,L (-7),1,28:49:00,28,49,00,2.0,5.0,0.4,0.0,0.0,,0.0,0.0,,0.0,2.0,2.0,7.0,2.0,1.0,0.0,2.0,4.0,8.7,-9.0
Tyreke Evans,48,43.0,2/3/2010,20-137,SAC,,SAS,L (-2),1,38:46:00,38,46,00,11.0,18.0,0.611,3.0,5.0,0.6,7.0,9.0,0.778,0.0,7.0,7.0,8.0,2.0,1.0,4.0,5.0,32.0,27.4,5.0
Tyreke Evans,49,44.0,2/5/2010,20-139,SAC,,PHO,L (-12),1,26:48:00,26,48,00,6.0,11.0,0.545,0.0,1.0,0.0,1.0,2.0,0.5,2.0,3.0,5.0,4.0,1.0,0.0,0.0,3.0,13.0,12.2,-17.0
Tyreke Evans,50,45.0,2/7/2010,20-141,SAC,@,TOR,L (-11),1,39:10:00,39,10,00,3.0,8.0,0.375,0.0,0.0,,5.0,5.0,1.0,1.0,3.0,4.0,9.0,2.0,1.0,5.0,0.0,11.0,12.2,-12.0
Tyreke Evans,51,46.0,2/9/2010,20-143,SAC,@,NYK,W (+4),1,45:14:00,45,14,00,11.0,26.0,0.423,0.0,1.0,0.0,5.0,7.0,0.7140000000000001,2.0,8.0,10.0,7.0,1.0,0.0,3.0,3.0,27.0,17.9,10.0
Tyreke Evans,52,47.0,2/10/2010,20-144,SAC,@,DET,W (+6),1,35:35:00,35,35,00,5.0,10.0,0.5,0.0,1.0,0.0,3.0,6.0,0.5,2.0,3.0,5.0,6.0,3.0,0.0,4.0,2.0,13.0,11.5,1.0
Tyreke Evans,53,48.0,2/16/2010,20-150,SAC,,BOS,L (-3),1,40:51:00,40,51,00,5.0,13.0,0.385,1.0,2.0,0.5,6.0,10.0,0.6,1.0,10.0,11.0,7.0,0.0,1.0,1.0,3.0,17.0,15.4,7.0
Tyreke Evans,54,49.0,2/17/2010,20-151,SAC,@,GSW,L (-32),1,32:16:00,32,16,00,6.0,12.0,0.5,0.0,1.0,0.0,5.0,5.0,1.0,0.0,5.0,5.0,10.0,3.0,0.0,6.0,4.0,17.0,14.9,-13.0
Tyreke Evans,55,50.0,2/20/2010,20-154,SAC,@,LAC,L (-10),1,40:05:00,40,05,00,9.0,14.0,0.643,1.0,3.0,0.33299999999999996,2.0,7.0,0.28600000000000003,0.0,3.0,3.0,4.0,0.0,0.0,4.0,4.0,21.0,10.9,-15.0
Tyreke Evans,56,51.0,2/21/2010,20-155,SAC,@,PHO,L (-16),1,34:59:00,34,59,00,7.0,13.0,0.5379999999999999,0.0,0.0,,2.0,4.0,0.5,1.0,2.0,3.0,6.0,1.0,0.0,5.0,4.0,16.0,8.8,-23.0
Tyreke Evans,57,52.0,2/23/2010,20-157,SAC,,DET,L (-12),1,43:36:00,43,36,00,11.0,19.0,0.579,0.0,2.0,0.0,6.0,9.0,0.667,0.0,3.0,3.0,13.0,2.0,0.0,2.0,4.0,28.0,26.3,-6.0
Tyreke Evans,58,53.0,2/26/2010,20-160,SAC,,UTA,W (+4),1,38:06:00,38,06,00,9.0,17.0,0.529,0.0,1.0,0.0,6.0,11.0,0.545,0.0,8.0,8.0,7.0,1.0,1.0,2.0,1.0,24.0,20.3,7.0
Tyreke Evans,59,54.0,2/28/2010,20-162,SAC,,LAC,W (+5),1,37:09:00,37,09,00,9.0,21.0,0.429,0.0,0.0,,4.0,8.0,0.5,1.0,4.0,5.0,3.0,1.0,0.0,1.0,3.0,22.0,12.1,-4.0
Tyreke Evans,60,55.0,3/2/2010,20-164,SAC,@,OKC,L (-6),1,39:17:00,39,17,00,7.0,17.0,0.41200000000000003,0.0,1.0,0.0,13.0,17.0,0.765,1.0,5.0,6.0,5.0,2.0,0.0,4.0,6.0,27.0,17.6,-3.0
Tyreke Evans,61,56.0,3/3/2010,20-165,SAC,@,HOU,W (+3),1,33:34:00,33,34,00,4.0,22.0,0.182,0.0,4.0,0.0,1.0,3.0,0.33299999999999996,1.0,7.0,8.0,5.0,1.0,1.0,1.0,5.0,9.0,-0.6,8.0
Tyreke Evans,62,57.0,3/5/2010,20-167,SAC,@,DAL,L (-8),1,37:48:00,37,48,00,9.0,15.0,0.6,1.0,2.0,0.5,1.0,4.0,0.25,0.0,1.0,1.0,6.0,1.0,0.0,6.0,3.0,20.0,10.2,-10.0
Tyreke Evans,63,58.0,3/7/2010,20-169,SAC,,OKC,L (-6),1,39:37:00,39,37,00,9.0,16.0,0.563,2.0,3.0,0.667,4.0,7.0,0.5710000000000001,0.0,4.0,4.0,7.0,3.0,0.0,2.0,1.0,24.0,21.9,-8.0
Tyreke Evans,64,59.0,3/9/2010,20-171,SAC,@,POR,L (-7),1,43:11:00,43,11,00,8.0,19.0,0.42100000000000004,0.0,1.0,0.0,2.0,3.0,0.667,1.0,5.0,6.0,6.0,1.0,0.0,1.0,2.0,18.0,13.1,-12.0
