Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
22,22,12/13/2012,22-151,POR,,SAS,W (+8),1,40:29:00,11,22,0.5,2,6,0.333,5,5,1,0,7,7,6,0,0,2,3,29,21.1,6
23,23,12/16/2012,22-154,POR,,NOH,W (+1),1,38:35:00,5,14,0.357,4,10,0.4,2,2,1,0,2,2,4,1,1,1,3,16,11.1,-3
24,24,12/20/2012,22-158,POR,,DEN,W (+8),1,35:23:00,3,14,0.214,1,6,0.167,5,6,0.833,1,3,4,10,1,0,2,0,12,10.6,9
25,25,12/22/2012,22-160,POR,,PHO,W (+3),1,39:02:00,7,13,0.538,2,5,0.4,9,10,0.9,1,0,1,7,1,0,3,2,25,21.1,7
26,26,12/23/2012,22-161,POR,@,SAC,L (-12),1,35:54:00,6,14,0.429,3,6,0.5,0,0,,0,2,2,7,1,1,3,1,15,11.4,-3
27,27,12/26/2012,22-164,POR,,SAC,W (+18),1,37:47:00,7,14,0.5,3,5,0.6,0,0,,2,6,8,11,1,1,4,3,17,17.4,27
28,28,12/28/2012,22-166,POR,@,LAL,L (-17),1,37:28:00,4,17,0.235,1,4,0.25,2,2,1,0,2,2,4,1,0,3,2,11,1.3,-21
29,29,12/29/2012,22-167,POR,,PHI,W (+4),1,38:40:00,8,18,0.444,4,11,0.364,0,0,,0,0,0,0,0,1,1,3,20,9.1,1
30,30,1/1/2013,22-170,POR,@,NYK,W (+5),1,39:33:00,9,19,0.474,2,8,0.25,1,2,0.5,0,5,5,6,2,0,3,1,21,15.2,5
31,31,1/2/2013,22-171,POR,@,TOR,L (-23),1,37:23:00,6,13,0.462,1,5,0.2,5,6,0.833,1,4,5,7,0,0,7,2,18,9.9,-18
32,32,1/4/2013,22-173,POR,@,MEM,W (+2),1,37:59:00,5,14,0.357,1,4,0.25,0,0,,0,5,5,8,1,0,5,0,11,6.3,-1
33,33,1/5/2013,22-174,POR,@,MIN,W (+5),1,38:48:00,7,14,0.5,3,5,0.6,3,3,1,2,2,4,6,0,0,3,3,20,15,16
34,34,1/7/2013,22-176,POR,,ORL,W (+6),1,42:57:00,7,17,0.412,0,6,0,4,4,1,0,3,3,10,2,0,3,2,18,15,10
35,35,1/10/2013,22-179,POR,,MIA,W (+2),1,41:13:00,4,11,0.364,2,7,0.286,0,2,0,0,3,3,8,2,0,2,0,10,9.6,3
36,36,1/11/2013,22-180,POR,@,GSW,L (-6),1,42:40:00,15,25,0.6,7,12,0.583,0,0,,1,5,6,4,2,0,2,1,37,30.1,4
37,37,1/13/2013,22-182,POR,,OKC,L (-4),1,40:50:00,3,14,0.214,2,9,0.222,1,2,0.5,1,3,4,9,1,0,3,2,9,5.1,-2
38,38,1/15/2013,22-184,POR,@,DEN,L (-4),1,42:12:00,5,14,0.357,3,5,0.6,1,2,0.5,0,8,8,5,1,2,2,4,14,10.5,-5
39,39,1/16/2013,22-185,POR,,CLE,L (-5),1,36:14:00,3,9,0.333,1,5,0.2,6,8,0.75,0,1,1,7,1,0,2,3,13,10.1,-1
40,40,1/19/2013,22-188,POR,,MIL,L (-6),1,41:39:00,9,21,0.429,3,9,0.333,5,6,0.833,0,3,3,10,1,1,3,3,26,19.9,14
41,41,1/21/2013,22-190,POR,,WAS,L (-3),1,37:33:00,7,17,0.412,2,6,0.333,2,2,1,1,2,3,5,0,0,3,2,18,9.9,-10
42,42,1/23/2013,22-192,POR,,IND,W (+20),1,38:45:00,9,16,0.563,0,3,0,2,2,1,1,1,2,8,0,0,0,1,20,18.6,7
43,43,1/26/2013,22-195,POR,,LAC,W (+1),1,37:22:00,6,13,0.462,4,7,0.571,4,4,1,0,0,0,2,2,0,3,1,20,13.3,-1
44,44,1/27/2013,22-196,POR,@,LAC,L (-13),1,37:18:00,5,14,0.357,2,7,0.286,4,4,1,0,2,2,5,1,1,5,2,16,8.2,-14
45,45,1/29/2013,22-198,POR,,DAL,W (+2),1,40:18:00,3,11,0.273,2,6,0.333,2,2,1,0,1,1,8,1,0,3,3,10,6.2,6
46,46,2/1/2013,22-201,POR,@,UTA,L (-9),1,41:47:00,10,23,0.435,3,8,0.375,3,3,1,0,3,3,5,0,1,4,1,26,14.6,-3
47,47,2/2/2013,22-202,POR,,UTA,W (+6),1,40:22:00,9,17,0.529,3,5,0.6,2,2,1,0,3,3,8,0,0,4,3,23,16,2
48,48,2/4/2013,22-204,POR,@,MIN,W (+2),1,38:03:00,9,17,0.529,0,2,0,3,3,1,0,4,4,6,3,0,5,5,21,14.1,-8
49,49,2/6/2013,22-206,POR,@,DAL,L (-6),1,38:57:00,6,17,0.353,3,8,0.375,4,4,1,0,4,4,6,1,1,0,2,19,15.8,8
50,50,2/8/2013,22-208,POR,@,HOU,L (-15),1,33:26:00,7,13,0.538,2,5,0.4,2,3,0.667,0,3,3,6,0,0,2,2,18,13.6,-18
51,51,2/10/2013,22-210,POR,@,ORL,L (-6),1,40:19:00,1,16,0.063,0,8,0,2,2,1,0,3,3,12,1,1,4,0,4,0.2,-4
52,52,2/12/2013,22-212,POR,@,MIA,L (-13),1,38:57:00,10,18,0.556,3,8,0.375,10,11,0.909,0,1,1,3,0,0,4,2,33,21.6,-21
53,53,2/13/2013,22-213,POR,@,NOH,L (-36),1,35:21:00,4,15,0.267,0,2,0,4,4,1,0,2,2,4,1,0,3,3,12,3.3,-22
54,54,2/19/2013,22-219,POR,,PHO,L (-4),1,40:37:00,8,19,0.421,3,8,0.375,5,5,1,0,0,0,7,0,0,6,0,24,12.8,-3
55,55,2/22/2013,22-222,POR,@,LAL,L (-4),1,40:16:00,9,22,0.409,1,5,0.2,0,0,,0,3,3,7,1,0,1,3,19,11.8,-8
56,56,2/24/2013,22-224,POR,,BOS,W (+6),1,38:39:00,5,16,0.313,0,5,0,2,2,1,1,5,6,6,0,0,2,0,12,7.2,4
57,57,2/27/2013,22-227,POR,,DEN,L (-2),1,37:12:00,8,14,0.571,4,6,0.667,6,8,0.75,1,2,3,4,1,0,5,4,26,17.1,6
58,58,3/2/2013,22-230,POR,,MIN,W (+15),1,39:16:00,9,18,0.5,2,5,0.4,4,4,1,2,4,6,4,0,0,0,3,24,19.2,22
