PLAYER_NAME,GAME_NUMBER,GAME_PLAYED,DATE,AGE,TEAM,HOME_AWAY,OPP,RESULT,GS,MP,MIN,SEC,SECONDS_PLAYED,FG,FGA,FG_PERCENT,THREEP,THREEPA,THREEP_PERCENT,FT,FTA,FT_PERCENT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GMSC,PLUS_MINUS,SEASON
Russell Westbrook,35,35,2017-01-02,28,OKC,@,MIL,L (-4),1,35:55:00,35,55,2155,9,28,0.321,2,10,0.2,10,11,0.909,0,7,7,6,3,0,5,3,30,16.7,+3,2016-17
Russell Westbrook,36,36,2017-01-04,28,OKC,@,CHO,L (-11),1,33:48:00,33,48,2028,10,31,0.323,2,12,0.167,11,13,0.846,3,12,15,8,2,1,4,5,33,22.5,-8,2016-17
Russell Westbrook,37,37,2017-01-05,28,OKC,@,HOU,L (-2),1,37:31:00,37,31,2251,16,34,0.471,8,15,0.533,9,11,0.818,1,7,8,5,2,0,5,2,49,33.3,+2,2016-17
Russell Westbrook,38,38,2017-01-07,28,OKC,,DEN,W (+15),1,35:00:00,35,0,2100,10,20,0.5,7,12,0.583,5,6,0.833,2,15,17,11,3,0,5,3,32,32,+24,2016-17
Russell Westbrook,39,39,2017-01-09,28,OKC,@,CHI,W (+15),1,33:19:00,33,19,1999,9,18,0.5,1,7,0.143,2,3,0.667,0,9,9,14,1,0,4,2,21,20.3,+10,2016-17
Russell Westbrook,40,40,2017-01-11,28,OKC,,MEM,W (+8),1,36:58:00,36,58,2218,6,20,0.3,0,7,0,12,15,0.8,1,12,13,12,2,1,6,1,24,20.2,+13,2016-17
Russell Westbrook,41,41,2017-01-13,28,OKC,@,MIN,L (-10),1,35:37:00,35,37,2137,7,23,0.304,1,10,0.1,6,7,0.857,3,8,11,12,2,0,10,3,21,11,-10,2016-17
Russell Westbrook,42,42,2017-01-15,28,OKC,@,SAC,W (+4),1,35:58:00,35,58,2158,11,21,0.524,4,5,0.8,10,11,0.909,2,9,11,10,4,0,7,1,36,33,-1,2016-17
Russell Westbrook,43,43,2017-01-16,28,OKC,@,LAC,L (-22),1,29:17:00,29,17,1757,7,19,0.368,2,7,0.286,8,9,0.889,1,4,5,4,2,0,4,2,24,15,-20,2016-17
Russell Westbrook,44,44,2017-01-18,28,OKC,@,GSW,L (-21),1,35:14:00,35,14,2114,8,23,0.348,1,6,0.167,10,11,0.909,4,11,15,13,2,2,10,5,27,20.3,-19,2016-17
Russell Westbrook,45,45,2017-01-23,28,OKC,@,UTA,W (+2),1,36:14:00,36,14,2174,11,29,0.379,3,7,0.429,13,17,0.765,1,10,11,10,4,1,6,3,38,28.7,+4,2016-17
Russell Westbrook,46,46,2017-01-25,28,OKC,@,NOP,W (+9),1,35:40:00,35,40,2140,7,22,0.318,4,9,0.444,9,12,0.75,1,11,12,10,1,1,8,3,27,16.7,-1,2016-17
Russell Westbrook,47,47,2017-01-26,28,OKC,,DAL,W (+11),1,35:10:00,35,10,2110,16,29,0.552,4,8,0.5,9,11,0.818,1,7,8,3,2,0,4,2,45,32.4,+19,2016-17
Russell Westbrook,48,48,2017-01-29,28,OKC,@,CLE,L (-16),1,36:22:00,36,22,2182,7,26,0.269,1,6,0.167,5,8,0.625,5,7,12,10,1,1,4,3,20,12.5,-18,2016-17
Russell Westbrook,49,49,2017-01-31,28,OKC,@,SAS,L (-14),1,33:44:00,33,44,2024,7,17,0.412,3,7,0.429,10,10,1,1,5,6,14,1,0,6,4,27,23.3,+8,2016-17
Russell Westbrook,50,50,2017-02-01,28,OKC,,CHI,L (-28),1,29:25:00,29,25,1765,10,23,0.435,2,7,0.286,6,8,0.75,1,4,5,8,2,1,3,1,28,21.9,-23,2016-17
Russell Westbrook,51,51,2017-02-03,28,OKC,,MEM,W (+12),1,37:39:00,37,39,2259,8,20,0.4,5,7,0.714,17,17,1,2,11,13,12,3,0,5,2,38,37.5,+17,2016-17
Russell Westbrook,52,52,2017-02-05,28,OKC,,POR,W (+6),1,35:10:00,35,10,2110,16,34,0.471,1,6,0.167,9,11,0.818,1,3,4,8,0,0,4,3,42,25.8,+7,2016-17
Russell Westbrook,53,53,2017-02-06,28,OKC,@,IND,L (-3),1,37:07:00,37,7,2227,10,27,0.37,4,10,0.4,3,4,0.75,2,16,18,9,1,2,4,3,27,21.4,+1,2016-17
Russell Westbrook,54,54,2017-02-09,28,OKC,,CLE,W (+9),1,35:23:00,35,23,2123,11,27,0.407,2,6,0.333,5,5,1,1,11,12,11,4,0,7,4,29,21.6,+3,2016-17
Russell Westbrook,55,55,2017-02-11,28,OKC,,GSW,L (-16),1,37:09:00,37,9,2229,14,26,0.538,3,10,0.3,16,18,0.889,1,10,11,8,1,0,11,5,47,30.9,-13,2016-17
Russell Westbrook,56,56,2017-02-13,28,OKC,@,WAS,L (-22),1,24:12:00,24,12,1452,5,19,0.263,0,4,0,7,7,1,2,2,4,4,2,0,2,0,17,10.5,-36,2016-17
Russell Westbrook,57,57,2017-02-15,28,OKC,,NYK,W (+11),1,37:44:00,37,44,2264,13,22,0.591,3,5,0.6,9,13,0.692,3,11,14,12,3,1,6,0,38,37.7,+13,2016-17
Russell Westbrook,58,58,2017-02-24,28,OKC,,LAL,W (+17),1,35:16:00,35,16,2116,4,18,0.222,1,5,0.2,8,9,0.889,2,16,18,17,3,0,6,1,17,20.3,+19,2016-17
Russell Westbrook,59,59,2017-02-26,28,OKC,,NOP,W (+8),1,36:53:00,36,53,2213,14,29,0.483,2,8,0.25,11,12,0.917,2,9,11,11,1,0,9,2,41,28.9,+3,2016-17
Russell Westbrook,60,60,2017-02-28,28,OKC,,UTA,W (+3),1,38:47:00,38,47,2327,13,28,0.464,6,9,0.667,11,12,0.917,0,11,11,10,0,0,8,1,43,30.1,+9,2016-17
Russell Westbrook,61,61,2017-03-02,28,OKC,@,POR,L (-5),1,36:52:00,36,52,2212,12,36,0.333,6,16,0.375,15,15,1,2,5,7,4,1,1,4,0,45,28,-7,2016-17
Russell Westbrook,62,62,2017-03-03,28,OKC,@,PHO,L (-7),1,38:05:00,38,5,2285,14,30,0.467,3,12,0.25,17,18,0.944,1,16,17,9,3,0,4,4,48,41.4,+10,2016-17
Russell Westbrook,63,63,2017-03-05,28,OKC,@,DAL,L (-15),1,34:01:00,34,1,2041,8,24,0.333,2,10,0.2,11,13,0.846,0,6,6,5,2,1,1,4,29,20,-14,2016-17
Russell Westbrook,64,64,2017-03-07,28,OKC,,POR,L (-5),1,35:56:00,35,56,2156,21,39,0.538,3,9,0.333,13,16,0.813,1,2,3,9,3,1,4,4,58,43.6,+7,2016-17
Russell Westbrook,65,65,2017-03-09,28,OKC,,SAS,W (+10),1,35:08:00,35,8,2108,7,21,0.333,1,6,0.167,8,9,0.889,3,10,13,13,2,0,3,2,23,23.1,+12,2016-17
Russell Westbrook,66,66,2017-03-11,28,OKC,,UTA,W (+8),1,36:18:00,36,18,2178,9,26,0.346,3,10,0.3,12,13,0.923,1,10,11,14,2,2,5,1,33,29.5,+12,2016-17
Russell Westbrook,67,67,2017-03-14,28,OKC,@,BRK,W (+18),1,34:42:00,34,42,2082,6,18,0.333,2,7,0.286,11,13,0.846,1,11,12,19,2,1,5,3,25,27.8,+7,2016-17
Russell Westbrook,68,68,2017-03-16,28,OKC,@,TOR,W (+21),1,27:50:00,27,50,1670,8,17,0.471,4,8,0.5,4,4,1,0,10,10,16,1,0,2,2,24,27.7,+26,2016-17
Russell Westbrook,69,69,2017-03-18,28,OKC,,SAC,W (+16),1,35:59:00,35,59,2159,9,20,0.45,4,9,0.444,6,7,0.857,3,5,8,10,4,0,7,1,28,24.4,+13,2016-17
Russell Westbrook,70,70,2017-03-20,28,OKC,,GSW,L (-16),1,27:13:00,27,13,1633,4,16,0.25,1,6,0.167,6,7,0.857,0,8,8,7,2,0,5,4,15,7.7,-25,2016-17
Russell Westbrook,71,71,2017-03-22,28,OKC,,PHI,W (+25),1,27:51:00,27,51,1671,6,6,1,0,0,,6,6,1,0,11,11,14,0,2,5,1,18,25.3,+21,2016-17
Russell Westbrook,72,72,2017-03-26,28,OKC,@,HOU,L (-12),1,38:58:00,38,58,2338,13,24,0.542,3,9,0.333,10,16,0.625,0,11,11,13,0,0,5,4,39,30.8,-14,2016-17
Russell Westbrook,73,73,2017-03-27,28,OKC,@,DAL,W (+1),1,36:21:00,36,21,2181,15,30,0.5,2,9,0.222,5,5,1,0,13,13,10,2,0,6,0,37,28.9,+12,2016-17
